path,lobbies_assigned_final
2022-03-01_S1_ozzaworld_1412121454,"[1, 2, 3, 4, 5, 6, 7, 8, None, 10, 11, 12]"
2022-03-01_S1_karacorvus_1412340344,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-03-01_S1_aribunnie_1412358486,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-03-01_S1_chey_1411997916,"[1, 2, 3, 5, 6, 7, 8, 9, 10]"
2022-03-01_S1_jojosolos_1412357428,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-03-01_S1_jvckk_1412356065,"[1, 2, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]"
2022-03-01_S1_kaywordley_1412070139,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, None]"
2022-03-01_S1_skadj_1412358190,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]"
2022-03-01_S1_vikramafc_1412229146,"[1, 2, 3, 4, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
2022-03-01_S1_zeroyalviking_1412348124,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
